--------- beginning of system
I/Vold    (  253): Vold 2.1 (the revenge) firing up
D/Vold    (  253): Volume usbdisk state changing -1 (Initializing) -> 0 (No-Media)
I/Cryptfs (  253): Check if PFE is activated on Boot
E/Cryptfs (  253): Bad magic for real block device /dev/block/platform/msm_sdcc.1/by-name/userdata
E/Cryptfs (  253): Error getting crypt footer and key
I/InstallerConnection(  927): connecting...
I/InstallerConnection(  927): disconnecting...
I/SystemServer(  927): Entered the Android system server!
I/SystemServiceManager(  927): Starting com.android.server.pm.Installer
I/Installer(  927): Waiting for installd to be ready.
I/InstallerConnection(  927): connecting...
I/SystemServiceManager(  927): Starting com.android.server.am.ActivityManagerService$Lifecycle
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/XXXXXX  (  927): choosing minFree values for 32 Bit
I/ActivityManager(  927): Memory class: 192
I/ServiceThread(  927): Enabled StrictMode logging for ActivityManager looper.
I/AppOps  (  927): No existing app ops /data/system/appops.xml; starting empty
I/IntentFirewall(  927): Read new rules (A:0 B:0 S:0)
I/ServiceThread(  927): Enabled StrictMode logging for android.ui looper.
I/ServiceThread(  927): Enabled StrictMode logging for android.display looper.
D/AppOps  (  927): AppOpsService published
I/SystemServiceManager(  927): Starting com.android.server.power.PowerManagerService
I/ServiceThread(  927): Enabled StrictMode logging for PowerManagerService looper.
I/SystemServiceManager(  927): Starting com.android.server.display.DisplayManagerService
I/SystemServiceManager(  927): Starting phase 100
I/DisplayManagerService(  927): Display device added: DisplayDeviceInfo{"内置屏幕": uniqueId="local:0", 1080 x 1920, 60.0 fps, supportedRefreshRates [60.0], density 480, 422.03 x 424.069 dpi, appVsyncOff 0, presDeadline 17666667, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
I/SystemServer(  927): Package Manager
W/SELinuxMMAC(  927): Error opening /data/system/seapp_hash. Assuming first boot.
W/PackageManager(  927): No security bridge jar found, using default
W/FileUtils(  927): Failed to chmod(/data/system/packages.list): android.system.ErrnoException: chmod failed: ENOENT (No such file or directory)
W/SystemConfig(  927): No directory /system/etc/sysconfig, skipping
D/SELinuxMMAC(  927): Using policy file /system/etc/security/mac_permissions.xml
I/PackageManager(  927): No settings file; creating initial state
W/PackageManager(  927): Permission android.permission.SET_APPLICATION_ERROR_LISTENER from package flyme ignored: no group null
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Browser/Browser.apk Binary XML file line #60
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/CustomizeCenter/CustomizeCenter.apk Binary XML file line #61
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Dialer/Dialer.apk Binary XML file line #67
W/PackageParser(  927): No actions in intent filter at /system/priv-app/Dialer/Dialer.apk Binary XML file line #156
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/EBook/EBook.apk Binary XML file line #46
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Email/Email.apk Binary XML file line #113
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/FlymeLauncher/FlymeLauncher.apk Binary XML file line #122
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Gallery/Gallery.apk Binary XML file line #68
W/PackageParser(  927): No actions in intent filter at /system/priv-app/LogReport/LogReport.apk Binary XML file line #49
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Mms/Mms.apk Binary XML file line #76
W/PackageParser(  927): No actions in intent filter at /system/priv-app/Mms/Mms.apk Binary XML file line #424
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Music/Music.apk Binary XML file line #80
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/MzBackup/MzBackup.apk Binary XML file line #60
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/MzInput/MzInput.apk Binary XML file line #48
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/NetContactService/NetContactService.apk Binary XML file line #55
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Scanner/Scanner.apk Binary XML file line #49
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/SoundRecorder/SoundRecorder.apk Binary XML file line #68
W/PackageParser(  927): No actions in intent filter at /system/priv-app/SystemUI/SystemUI.apk Binary XML file line #171
W/PackageParser(  927): Unknown element under <intent-filter>: android at /system/priv-app/Telecom/Telecom.apk Binary XML file line #123
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/Video/Video.apk Binary XML file line #101
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/priv-app/VoiceAssistant/VoiceAssistant.apk Binary XML file line #64
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/AlarmClock/AlarmClock.apk Binary XML file line #61
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/AppCenter/AppCenter.apk Binary XML file line #98
W/PackageParser(  927): No actions in intent filter at /system/app/Bluetooth/Bluetooth.apk Binary XML file line #229
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Calculator/Calculator.apk Binary XML file line #41
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Calendar/Calendar.apk Binary XML file line #52
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Camera/Camera.apk Binary XML file line #71
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/CloudDisk/CloudDisk.apk Binary XML file line #56
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/FileManager/FileManager.apk Binary XML file line #83
W/PackageParser(  927): No actions in intent filter at /system/app/FileManager/FileManager.apk Binary XML file line #244
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/GameCenter/GameCenter.apk Binary XML file line #58
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Life/Life.apk Binary XML file line #98
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Map/Map.apk Binary XML file line #50
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzAccount/MzAccount.apk Binary XML file line #107
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzPhoneLocationService/MzPhoneLocationService.apk Binary XML file line #106
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzSecurity/MzSecurity.apk Binary XML file line #136
W/PackageParser(  927): No actions in intent filter at /system/app/MzSecurity/MzSecurity.apk Binary XML file line #915
W/PackageParser(  927): No actions in intent filter at /system/app/MzSecurity/MzSecurity.apk Binary XML file line #927
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzSetupWizard/MzSetupWizard.apk Binary XML file line #51
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzSyncService/MzSyncService.apk Binary XML file line #85
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/MzUpdate/MzUpdate.apk Binary XML file line #46
W/PackageParser(  927): Unknown element under <manifest>: meta-data at /system/app/NotePaper/NotePaper.apk Binary XML file line #11
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/O2OService/O2OService.apk Binary XML file line #43
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Reader/Reader.apk Binary XML file line #65
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Search/Search.apk Binary XML file line #61
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/ToolBox/ToolBox.apk Binary XML file line #57
W/PackageParser(  927): Unknown element under <manifest>: receiver at /system/app/Weather/Weather.apk Binary XML file line #53
W/PackageParser(  927): Unknown element under <application>: uses-permission at /system/app/shutdownlistener/shutdownlistener.apk Binary XML file line #11
E/PackageManager(  927): updateAllSharedLibrariesLPw failed: Package com.qualcomm.shutdownlistner requires unavailable shared library com.qualcomm.qcrilhook; failing!
W/PackageManager(  927): Package com.meizu.media.gallery desires unavailable shared library com.google.android.media.effects; ignoring!
I/PackageManager(  927): Adjusting ABI for : com.meizu.luckymoney to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.share to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.dialer to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.location.fused to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.voiceassistant to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.packageinstaller to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.settings to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : flyme to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.keychain to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.experiencedatasync to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.inputdevices to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.setup to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.providers.settings to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.logreport to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.documentsui to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.flyme.update to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.android.server.telecom to armeabi-v7a
I/PackageManager(  927): Adjusting ABI for : com.meizu.mzcountservice to armeabi-v7a
I/PackageManager(  927): Time to scan packages: 45.427 seconds
W/PackageManager(  927): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH in package com.android.providers.calendar
W/PackageManager(  927): Unknown permission com.google.android.googleapps.permission.GOOGLE_AUTH.cl in package com.android.providers.calendar
W/PackageManager(  927): Unknown permission android.permission.ROOT_RECOVERY_STATE in package com.android.providers.media
W/PackageManager(  927): Unknown permission com.android.launcher.permission.READ_SETTINGS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.android.launcher.permission.WRITE_SETTINGS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.android.launcher3.permission.READ_SETTINGS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.android.launcher3.permission.WRITE_SETTINGS in package com.meizu.flyme.launcher
W/PackageManager(  927): Not granting permission com.android.permission.WHITELIST_BLUETOOTH_DEVICE to package com.meizu.flyme.launcher (protectionLevel=2 flags=0x4018be45)
W/PackageManager(  927): Unknown permission yunos.permission.WIFI in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.MOBILE in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.aliyun.permission.TYID_MGR_SERVICE in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.READ_LIFE_CARDS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.WRITE_LIFE_CARDS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.MSEARCH_PROVIDER_ACCESS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.yunos.permission.LOCATED in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission com.meizu.flyme.providers.forcetouch.permission.READ_SETTINGS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.ROOT_RECOVERY_STATE in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.LOCAL_MAC_ADDRESS in package com.meizu.flyme.launcher
W/PackageManager(  927): Unknown permission android.permission.send.MEIZU_KEYGUARD_ALARM in package com.android.alarmclock
W/PackageManager(  927): Unknown permission android.permission.MEIZU_BOOT_ALARM in package com.android.alarmclock
W/PackageManager(  927): Unknown permission flyme.calendar.permission.READ_CALENDAR in package com.android.alarmclock
W/PackageManager(  927): Unknown permission android.permission.READ_SETTINGS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.meizu.flyme.providers.forcetouch.permission.READ_SETTINGS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.meizu.flyme.providers.forcetouch.permission.WRITE_SETTINGS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.meizu.flyme.push.permission.RECEIVE in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.android.usagestats.permission.READ_USAGESTATS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.android.usagestats.permission.WRITE_USAGESTATS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission android.permission.ROOT_RECOVERY_STATE in package com.android.alarmclock
W/PackageManager(  927): Unknown permission android.permission.LOCAL_MAC_ADDRESS in package com.android.alarmclock
W/PackageManager(  927): Unknown permission com.yunos.securityagent.permission.CALL_SECURITY_GUARD in package com.meizu.flyme.scanner
W/PackageManager(  927): Unknown permission com.meizu.flyme.push.permission.RECEIVE in package com.meizu.flyme.scanner
W/PackageManager(  927): Unknown permission android.permission.ROOT_RECOVERY_STATE in package com.meizu.flyme.scanner
W/PackageManager(  927): Unknown permission android.permission.LOCAL_MAC_ADDRESS in package com.meizu.flyme.scanner
W/PackageManager(  927): Not granting permission android.permission.MOUNT_UNMOUNT_FILESYSTEMS to package com.iflytek.speechsuite (protectionLevel=18 flags=0x3e45)
W/PackageManager(  927): Unknown permission android.permission.WRITE_OWNER_DATA in package com.iflytek.speechsuite
W/PackageManager(  927): Not granting permission android.permission.READ_LOGS to package com.iflytek.speechsuite (protectionLevel=50 flags=0x3e45)
W/PackageManager(  927): Unknown permission android.permission.UPDATE_POWER_SAVING_MODE in package com.meizu.powersave
W/PackageManager(  927): Unknown permission android.permission.NETWORK_UPGRADE in package com.android.providers.downloads
W/PackageManager(  927): Unknown permission flyme.permission.SYSTEM_UPGRADE_DIALOG in package com.android.providers.downloads
W/PackageManager(  927): Unknown permission android.permission.READ_SMS_SUPER in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.REQUEST_GRANT_ACCESS_PROTECT_FILE in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.READ_PROTECT_FILE_LIST in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.MODIFY_PROTECT_FILE_LIST in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.FORCE_CLEAR_WHEN_GRANTED_EXPIRED in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.NETWORK_UPGRADE in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission com.android.usagestats.permission.READ_USAGESTATS in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission com.android.usagestats.permission.WRITE_USAGESTATS in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission com.meizu.flyme.push.permission.RECEIVE in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.ROOT_RECOVERY_STATE in package com.meizu.filemanager
W/PackageManager(  927): Unknown permission android.permission.LOCAL_MAC_ADDRESS in package com.meizu.filemanager
W/PackageManager(  927): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x4019be45)
W/PackageManager(  927): Not granting permission android.permission.DEVICE_POWER to package com.android.browser (protectionLevel=2 flags=0x4019be45)
W/PackageManager(  927): Unknown permission android.permission.PERFORM_DEXOPT in package com.android.browser
W/PackageManager(  927): Unknown permission android.hardware.sensor.accelerometer in package com.android.browser
W/PackageManager(  927): Unknown permission com.android.usagestats.permission.READ_USAGESTATS in package com.android.browser
